EPC;Timestamp;Antenna;RSSI;ReaderAntenna
E2801170000002136C8E6BB9;2022-05-17 13:10:09,311;2;45;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:33,911;2;41;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:33,951;2;45;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:34,071;2;44;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:34,111;2;46;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:34,231;2;41;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:34,351;2;42;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:10:55,556;2;42;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:15,436;2;40;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:15,607;2;40;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:15,656;2;43;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:15,816;2;43;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:25,926;2;44;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:25,986;2;42;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:26,556;2;42;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:26,616;2;41;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:28,706;2;40;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:11:38,377;2;45;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:12:19,437;2;42;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:12:19,658;2;45;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:12:32,818;2;40;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:12:32,867;2;44;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:12:32,987;2;43;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:13:08,749;2;48;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:13:09,889;2;43;Rd2_Antenna02
E2801170000002136C8E6BB9;2022-05-17 13:13:10,009;2;43;Rd2_Antenna02
